text,label
Produk tidak berkualitas jauh dari ekspektasi,negatif
Warna berbeda jauh dari foto yang ditampilkan,negatif
Sangat kecewa dengan pelayanan yang buruk,negatif
Tidak rekomendasikan sama sekali produk ini,negatif
Barang sudah lama tidak juga sampai,negatif
Customer service tidak membantu sama sekali,negatif
Produk cepat rusak tidak tahan lama,negatif
Sangat buruk mengecewakan tidak worth money,negatif
Kualitas sangat jelek harga tidak sesuai,negatif
Barang sampai dalam kondisi rusak parah,negatif
Seller tidak amanah barang tidak original,negatif
Sangat tidak puas dengan produk ini,negatif
Pengiriman sangat lama lebih dari seminggu,negatif
Produk tidak sesuai ekspektasi sama sekali,negatif
Film ini biasa saja tidak terlalu bagus,netral
Produk cukup oke untuk harganya,netral
Pengiriman sesuai estimasi tidak lebih tidak kurang,netral
Kualitas standar sesuai dengan harga,netral
Barang sudah sampai kondisi normal,netral
Produk lumayan bisa dipakai sehari-hari,netral
Harga sesuai dengan kualitas yang didapat,netral
Tidak ada yang istimewa dari produk ini,netral
Pelayanan biasa saja tidak buruk tidak bagus,netral
Barang seperti yang tertera di foto,netral
Produk oke lah untuk pemakaian biasa,netral
Kualitas mid-range sesuai ekspektasi,netral
Tidak ada keluhan tapi juga tidak istimewa,netral
Seller cukup responsif dalam menjawab pertanyaan,netral
Pengiriman normal tidak ada masalah berarti,netral
Produk standard untuk kategori harganya,netral
Barang normal sesuai deskripsi produk,netral
Tidak ada yang wow tapi juga tidak buruk,netral
Kualitas rata-rata untuk produk sejenis,netral
Cukup baik untuk kebutuhan sehari-hari,netral
Makanan ini sangat lezat dan enak sekali,positif
Restoran ini memiliki suasana yang nyaman,positif
Pelayanan pramusaji sangat ramah dan cepat,positif
Menu bervariasi dan harga terjangkau,positif
Rasanya enak dan porsinya cukup mengenyangkan,positif
Makanan selalu segar dan berkualitas tinggi,positif
Tempat makan favorit saya sangat direkomendasikan,positif
Cita rasa autentik dan bumbu sempurna,positif
Makanan tidak enak dan tidak layak dimakan,negatif
Restoran kotor dan pelayanan sangat buruk,negatif
Harga terlalu mahal untuk kualitas seperti ini,negatif
Makanan yang dihidangkan sudah basi dan tidak segar,negatif
Porsi sangat kecil tidak sebanding dengan harga,negatif
Tempat sangat berisik dan tidak nyaman,negatif
Pramusaji tidak ramah dan lambat melayani,negatif
Film sangat bagus dan menguras emosi,positif
Cerita yang menarik dengan akting yang memukau,positif
Sinematografi luar biasa dan musik yang indah,positif
Sangat direkomendasikan untuk semua penonton,positif
Film terbaik tahun ini yang wajib ditonton,positif
Alur cerita membosankan dan tidak menarik,negatif
Akting para pemain sangat mengecewakan,negatif
Film sangat buruk buang-buang waktu saja,negatif
Cerita tidak masuk akal dan sangat membingungkan,negatif
Tidak ada hal menarik dari film ini sama sekali,negatif
Film cukup menghibur untuk ditonton santai,netral
Cerita biasa saja tapi tidak mengecewakan,netral
Akting lumayan dengan cerita yang standar,netral
Film ini oke untuk mengisi waktu luang,netral
Kursus online ini sangat bermanfaat dan informatif,positif
Materi pembelajaran sangat lengkap dan terstruktur,positif
Instruktur sangat kompeten dan mudah dipahami,positif
Kursus ini meningkatkan kemampuan saya secara signifikan,positif
Sangat puas dengan kualitas pembelajaran ini,positif
Kursus sangat membosankan dan tidak informatif,negatif
Materi tidak relevan dan sudah ketinggalan zaman,negatif
Instruktur tidak kompeten dan sulit dipahami,negatif
Tidak ada manfaat yang didapat dari kursus ini,negatif
Kursus lumayan tapi bisa lebih baik lagi,netral
Materi cukup lengkap untuk pemula,netral
Harga kursus sesuai dengan konten yang diberikan,netral
Aplikasi ini sangat mudah digunakan dan intuitif,positif
Fitur lengkap dan sangat membantu produktivitas,positif
Interface yang bersih dan user-friendly,positif
Aplikasi berjalan lancar tanpa bug,positif
Update terbaru sangat meningkatkan performa,positif
Aplikasi sering crash dan tidak stabil,negatif
Fitur yang ada tidak berguna dan membingungkan,negatif
Interface sangat buruk dan tidak intuitif,negatif
Banyak bug yang mengganggu penggunaan,negatif
Aplikasi oke untuk kebutuhan dasar,netral
Fitur standar tidak ada yang istimewa,netral
Performa normal sesuai spesifikasi,netral
Hotel ini sangat mewah dan nyaman,positif
Kamar bersih dan fasilitas lengkap,positif
Lokasi strategis dekat pusat kota,positif
Staff sangat ramah dan pelayanan prima,positif
Pemandangan dari kamar sangat indah,positif
Hotel sangat kotor dan tidak terawat,negatif
Fasilitas rusak dan tidak berfungsi dengan baik,negatif
Pelayanan staff sangat buruk dan tidak ramah,negatif
Harga tidak sebanding dengan fasilitas yang ada,negatif
Kamar sempit dan kurang nyaman untuk beristirahat,negatif
Hotel standar tidak ada yang istimewa,netral
Fasilitas cukup memadai untuk kebutuhan dasar,netral
Lokasi oke tapi agak jauh dari pusat kota,netral
Buku ini sangat inspiratif dan mengubah pandangan,positif
Penulisan yang mengalir dan mudah dipahami,positif
Konten yang dalam dan sangat bermanfaat,positif
Buku terbaik yang pernah saya baca,positif
Sangat direkomendasikan untuk semua kalangan,positif
Buku sangat membosankan dan sulit dipahami,negatif
Konten tidak relevan dan sudah ketinggalan,negatif
Penulisan buruk dan tidak terstruktur dengan baik,negatif
Tidak ada manfaat dari membaca buku ini,negatif
Buku lumayan tapi bisa lebih baik,netral
Konten standar untuk genre ini,netral
Penulisan cukup baik tapi tidak istimewa,netral
Sepatu ini sangat nyaman dipakai seharian,positif
Kualitas bahan premium dan tahan lama,positif
Desain stylish dan cocok untuk berbagai outfit,positif
Harga sebanding dengan kualitas yang didapat,positif
Sepatu tidak nyaman dan cepat rusak,negatif
Ukuran tidak sesuai dengan yang tertera,negatif
Bahan murahan dan tidak tahan lama,negatif
Desain tidak menarik dan terlihat murah,negatif
Sepatu oke untuk pemakaian sehari-hari,netral
Kualitas standar sesuai dengan harga,netral
Laptop ini sangat powerful dan responsif,positif
Baterai tahan lama dan performa konsisten,positif
Layar jernih dengan resolusi tinggi,positif
Build quality premium dan terasa kokoh,positif
Laptop sering overheat dan performanya lambat,negatif
Baterai cepat habis dan tidak efisien,negatif
Layar redup dan kurang nyaman untuk mata,negatif
Keyboard tidak nyaman dan cepat rusak,negatif
Laptop oke untuk pekerjaan sehari-hari,netral
Performa standar untuk harganya,netral
Smartphone ini kamera nya sangat jernih,positif
Performa gaming sangat smooth dan responsif,positif
Baterai awet seharian penuh tanpa charge,positif
Desain premium dan terasa mewah di tangan,positif
HP cepat panas saat digunakan gaming,negatif
Kamera sangat buruk hasilnya buram,negatif
Baterai boros dan cepat habis,negatif
Performa lemot sering ngehang tidak karuan,negatif
HP oke untuk kebutuhan basic sehari-hari,netral
Kamera lumayan untuk harga segini,netral
Cuaca hari ini sangat cerah dan menyenangkan,positif
Pemandangan alam yang sangat indah dan memukau,positif
Liburan yang sangat menyenangkan dan berkesan,positif
Perjalanan yang luar biasa penuh kenangan,positif
Cuaca mendung dan membuat mood tidak baik,negatif
Perjalanan sangat melelahkan dan tidak menyenangkan,negatif
Liburan mengecewakan tidak sesuai harapan,negatif
Cuaca normal tidak terlalu panas atau dingin,netral
Perjalanan biasa saja tidak ada yang istimewa,netral
Olahraga rutin membuat badan terasa sehat,positif
Gym ini fasilitasnya lengkap dan bersih,positif
Instruktur fitness sangat profesional dan memotivasi,positif
Berolahraga setiap hari meningkatkan stamina,positif
Gym kotor dan alat-alatnya banyak yang rusak,negatif
Instruktur tidak kompeten dan kurang membantu,negatif
Fasilitas gym sangat buruk dan tidak terawat,negatif
Gym biasa saja fasilitasnya standar,netral
Olahraga cukup rutin untuk menjaga kesehatan,netral
